sid,school,sex,advice,feduc,meduc,focc,denom,galo
1,1,boy,2,lowest,lowest,NA,non-denominational,85
2,1,boy,lowest,lowest,lowest,2,non-denominational,78
3,1,girl,4,4,3,4,non-denominational,104
4,1,boy,2,lowest,lowest,2,non-denominational,93
5,1,girl,4,2,lowest,5,non-denominational,114
6,1,girl,2,lowest,lowest,NA,non-denominational,79
7,1,girl,2,2,2,5,non-denominational,95
8,1,girl,2,lowest,lowest,2,non-denominational,98
9,1,boy,2,lowest,lowest,NA,non-denominational,77
10,1,girl,4,lowest,3,lowest,non-denominational,114
11,1,boy,2,lowest,lowest,NA,non-denominational,79
12,1,boy,2,lowest,lowest,2,non-denominational,84
13,1,boy,2,lowest,lowest,2,non-denominational,101
14,1,girl,2,lowest,lowest,NA,non-denominational,98
15,1,boy,2,3,4,2,non-denominational,99
16,1,boy,2,5,5,4,non-denominational,102
17,1,girl,2,NA,3,NA,non-denominational,86
18,1,boy,2,lowest,lowest,4,non-denominational,86
19,1,girl,2,lowest,lowest,NA,non-denominational,85
20,1,girl,2,lowest,lowest,NA,non-denominational,108
21,2,girl,2,4,3,2,catholic,110
22,2,boy,4,5,3,highest,catholic,111
23,2,girl,2,4,5,3,catholic,100
24,2,girl,no subsequent school,4,2,2,catholic,79
25,2,boy,4,2,lowest,3,catholic,111
26,2,girl,2,7,5,5,catholic,92
27,2,girl,2,5,lowest,3,catholic,97
28,2,girl,5,7,2,3,catholic,120
29,2,girl,highest,2,6,3,catholic,134
30,2,girl,4,4,6,3,catholic,114
31,2,girl,4,7,6,highest,catholic,109
32,2,girl,4,7,2,3,catholic,109
33,3,girl,5,5,5,4,non-denominational,119
34,3,boy,4,2,5,4,non-denominational,106
35,3,girl,2,lowest,lowest,2,non-denominational,125
36,3,girl,4,2,lowest,2,non-denominational,111
37,3,girl,2,8,2,4,non-denominational,90
38,3,boy,4,3,lowest,3,non-denominational,103
39,3,girl,highest,5,5,highest,non-denominational,123
40,3,girl,5,lowest,lowest,2,non-denominational,114
41,3,girl,2,NA,lowest,NA,non-denominational,101
42,3,boy,4,6,lowest,4,non-denominational,102
43,3,boy,4,2,lowest,2,non-denominational,108
44,3,girl,4,6,5,5,non-denominational,111
45,3,boy,5,7,5,5,non-denominational,113
46,3,boy,2,2,lowest,2,non-denominational,91
47,3,boy,2,7,lowest,3,non-denominational,108
48,3,boy,2,6,7,5,non-denominational,92
49,3,boy,2,lowest,lowest,4,non-denominational,96
50,3,girl,4,5,5,4,non-denominational,106
51,3,girl,5,7,lowest,2,non-denominational,117
52,3,girl,5,2,5,4,non-denominational,113
53,3,boy,5,6,3,3,non-denominational,123
54,3,boy,4,7,lowest,4,non-denominational,109
55,3,girl,2,3,lowest,2,non-denominational,91
56,3,boy,5,3,lowest,3,non-denominational,119
57,3,boy,2,lowest,lowest,2,non-denominational,108
58,3,girl,5,5,lowest,4,non-denominational,116
59,3,boy,4,5,2,2,non-denominational,109
60,3,girl,5,7,5,highest,non-denominational,113
61,3,girl,5,7,5,4,non-denominational,118
62,3,girl,4,3,2,lowest,non-denominational,110
63,3,boy,5,2,lowest,4,non-denominational,111
64,3,boy,5,2,lowest,4,non-denominational,114
65,3,girl,highest,8,lowest,3,non-denominational,127
66,3,girl,highest,2,lowest,highest,non-denominational,122
67,4,boy,2,lowest,lowest,2,non-denominational,88
68,4,girl,2,lowest,lowest,NA,non-denominational,105
69,4,boy,2,lowest,lowest,3,non-denominational,104
70,4,girl,2,lowest,lowest,3,non-denominational,99
71,4,boy,2,lowest,2,3,non-denominational,93
72,4,boy,2,lowest,lowest,3,non-denominational,92
73,4,boy,2,lowest,lowest,2,non-denominational,96
74,4,boy,2,lowest,lowest,5,non-denominational,106
75,4,boy,5,lowest,lowest,3,non-denominational,119
76,4,boy,4,lowest,lowest,2,non-denominational,108
77,4,girl,2,2,lowest,2,non-denominational,106
78,4,girl,5,2,2,3,non-denominational,114
79,4,girl,2,lowest,lowest,2,non-denominational,108
80,4,boy,highest,lowest,2,2,non-denominational,110
81,4,boy,2,3,lowest,5,non-denominational,105
82,4,girl,2,2,lowest,lowest,non-denominational,95
83,4,boy,2,lowest,3,lowest,non-denominational,104
84,4,girl,lowest,lowest,lowest,3,non-denominational,103
85,4,boy,5,2,2,2,non-denominational,129
86,4,girl,4,lowest,lowest,lowest,non-denominational,114
87,4,boy,lowest,lowest,lowest,3,non-denominational,87
88,4,girl,2,lowest,lowest,3,non-denominational,101
89,4,boy,2,lowest,lowest,2,non-denominational,100
90,4,boy,2,lowest,lowest,2,non-denominational,94
91,4,boy,2,lowest,lowest,lowest,non-denominational,95
92,4,boy,2,lowest,lowest,lowest,non-denominational,87
93,4,boy,NA,lowest,lowest,lowest,non-denominational,111
94,4,boy,2,lowest,lowest,2,non-denominational,95
95,5,girl,2,lowest,lowest,NA,non-denominational,84
96,5,boy,4,3,3,3,non-denominational,117
97,5,boy,2,6,4,5,non-denominational,83
98,5,boy,2,6,4,5,non-denominational,87
99,5,boy,highest,2,2,3,non-denominational,129
100,5,girl,2,lowest,lowest,2,non-denominational,77
101,5,boy,lowest,lowest,lowest,2,non-denominational,78
102,5,girl,4,2,3,2,non-denominational,103
103,5,girl,2,2,2,4,non-denominational,100
104,5,boy,4,3,lowest,2,non-denominational,104
105,5,boy,lowest,lowest,lowest,3,non-denominational,91
106,5,boy,highest,4,lowest,lowest,non-denominational,122
107,5,girl,2,4,lowest,2,non-denominational,88
108,5,boy,lowest,lowest,lowest,4,non-denominational,86
109,5,boy,highest,2,4,NA,non-denominational,123
110,5,boy,2,lowest,lowest,lowest,non-denominational,81
111,5,girl,2,lowest,lowest,2,non-denominational,89
112,5,boy,2,5,lowest,2,non-denominational,96
113,5,girl,2,2,lowest,2,non-denominational,82
114,5,girl,4,lowest,lowest,lowest,non-denominational,109
115,5,girl,2,lowest,lowest,2,non-denominational,81
116,5,girl,2,lowest,lowest,3,non-denominational,101
117,5,boy,2,7,5,4,non-denominational,96
118,5,boy,4,lowest,lowest,2,non-denominational,105
119,5,boy,5,8,7,highest,non-denominational,119
120,6,boy,2,2,lowest,2,non-denominational,77
121,6,girl,4,4,5,3,non-denominational,112
122,6,girl,2,lowest,lowest,5,non-denominational,90
123,6,girl,2,5,3,highest,non-denominational,96
124,6,boy,2,2,5,2,non-denominational,95
125,6,girl,2,7,5,3,non-denominational,103
126,6,boy,2,2,2,2,non-denominational,91
127,6,boy,4,6,7,3,non-denominational,108
128,6,boy,highest,5,5,2,non-denominational,110
129,6,boy,2,lowest,lowest,2,non-denominational,77
130,6,girl,4,7,3,3,non-denominational,105
131,6,girl,highest,4,lowest,3,non-denominational,115
132,6,boy,2,4,2,2,non-denominational,96
133,6,boy,2,lowest,lowest,NA,non-denominational,96
134,6,girl,2,4,lowest,NA,non-denominational,79
135,6,girl,2,lowest,lowest,2,non-denominational,78
136,6,girl,highest,4,6,3,non-denominational,125
137,6,girl,2,3,3,2,non-denominational,103
138,6,girl,4,5,5,3,non-denominational,113
139,6,girl,2,lowest,lowest,lowest,non-denominational,99
140,6,boy,2,lowest,2,lowest,non-denominational,75
141,6,boy,4,3,3,lowest,non-denominational,105
142,6,girl,4,5,6,4,non-denominational,105
143,6,girl,2,6,lowest,3,non-denominational,103
144,6,boy,2,6,2,2,non-denominational,105
145,6,boy,2,5,3,3,non-denominational,100
146,6,boy,4,4,5,highest,non-denominational,110
147,6,boy,4,5,3,3,non-denominational,113
148,7,boy,2,NA,lowest,NA,non-denominational,90
149,7,girl,2,lowest,lowest,2,non-denominational,85
150,7,girl,2,lowest,lowest,lowest,non-denominational,84
151,7,boy,2,lowest,lowest,4,non-denominational,79
152,7,girl,2,lowest,lowest,lowest,non-denominational,93
153,7,boy,2,lowest,lowest,lowest,non-denominational,104
154,7,boy,2,lowest,lowest,lowest,non-denominational,77
155,7,boy,2,lowest,lowest,lowest,non-denominational,82
156,7,boy,2,lowest,lowest,2,non-denominational,79
157,7,boy,2,lowest,lowest,2,non-denominational,102
158,7,boy,2,lowest,lowest,2,non-denominational,98
159,7,girl,NA,NA,NA,NA,non-denominational,96
160,7,boy,4,lowest,lowest,lowest,non-denominational,108
161,7,girl,2,lowest,lowest,3,non-denominational,80
162,7,girl,2,lowest,lowest,2,non-denominational,104
163,7,girl,2,lowest,lowest,NA,non-denominational,102
164,7,girl,2,lowest,lowest,2,non-denominational,102
165,7,girl,2,lowest,lowest,NA,non-denominational,80
166,7,boy,2,lowest,lowest,4,non-denominational,86
167,7,girl,2,lowest,lowest,lowest,non-denominational,76
168,7,boy,2,lowest,lowest,2,non-denominational,83
169,7,girl,2,NA,lowest,NA,non-denominational,86
170,7,girl,4,lowest,lowest,2,non-denominational,114
171,7,girl,2,3,lowest,2,non-denominational,98
172,8,boy,4,6,5,4,non-denominational,108
173,8,boy,2,6,2,5,non-denominational,77
174,8,boy,2,2,lowest,lowest,non-denominational,97
175,8,girl,4,4,lowest,2,non-denominational,109
176,8,boy,2,NA,NA,2,non-denominational,83
177,8,boy,2,6,5,3,non-denominational,99
178,8,girl,2,2,lowest,3,non-denominational,93
179,8,boy,2,5,5,3,non-denominational,94
180,8,girl,4,4,5,3,non-denominational,111
181,8,girl,4,3,lowest,3,non-denominational,108
182,8,boy,4,lowest,lowest,3,non-denominational,113
183,8,boy,2,lowest,lowest,3,non-denominational,87
184,8,boy,2,lowest,3,2,non-denominational,83
185,8,boy,4,2,lowest,2,non-denominational,112
186,8,boy,5,5,5,5,non-denominational,103
187,8,girl,5,6,lowest,5,non-denominational,118
188,8,boy,4,6,5,3,non-denominational,106
189,8,boy,2,2,3,NA,non-denominational,102
190,8,boy,2,2,lowest,2,non-denominational,94
191,8,boy,4,3,2,highest,non-denominational,87
192,8,boy,4,3,lowest,NA,non-denominational,111
193,8,boy,2,lowest,lowest,NA,non-denominational,98
194,8,girl,4,8,5,NA,non-denominational,109
195,8,girl,2,5,lowest,3,non-denominational,89
196,8,girl,2,7,3,3,non-denominational,101
197,8,girl,5,highest,7,highest,non-denominational,117
198,8,boy,2,lowest,lowest,3,non-denominational,95
199,8,boy,2,2,2,5,non-denominational,101
200,8,girl,2,lowest,lowest,2,non-denominational,86
201,8,girl,4,4,7,3,non-denominational,114
202,8,girl,2,4,5,2,non-denominational,96
203,8,boy,5,lowest,lowest,NA,non-denominational,115
204,8,girl,2,2,lowest,3,non-denominational,95
205,8,girl,2,5,lowest,3,non-denominational,76
206,8,boy,2,lowest,lowest,2,non-denominational,97
207,8,boy,2,6,lowest,3,non-denominational,87
208,9,girl,2,3,3,4,non-denominational,100
209,9,girl,2,lowest,lowest,lowest,non-denominational,97
210,9,boy,4,2,3,lowest,non-denominational,110
211,9,girl,2,NA,NA,NA,non-denominational,87
212,9,girl,5,lowest,lowest,3,non-denominational,122
213,9,boy,4,lowest,lowest,lowest,non-denominational,110
214,9,girl,4,lowest,lowest,2,non-denominational,112
215,9,boy,4,lowest,2,3,non-denominational,113
216,9,boy,2,NA,lowest,NA,non-denominational,89
217,9,boy,2,lowest,lowest,lowest,non-denominational,94
218,9,girl,4,3,2,3,non-denominational,102
219,9,boy,5,lowest,lowest,NA,non-denominational,116
220,9,boy,2,NA,NA,3,non-denominational,88
221,9,girl,2,lowest,lowest,4,non-denominational,103
222,9,boy,2,4,3,3,non-denominational,86
223,9,boy,4,lowest,lowest,2,non-denominational,112
224,9,boy,2,5,3,3,non-denominational,106
225,9,boy,2,lowest,lowest,lowest,non-denominational,101
226,9,boy,2,3,lowest,2,non-denominational,104
227,9,boy,2,4,2,3,non-denominational,95
228,9,boy,2,lowest,lowest,2,non-denominational,96
229,9,boy,2,2,lowest,3,non-denominational,94
230,9,girl,2,2,6,2,non-denominational,92
231,9,boy,2,2,3,2,non-denominational,83
232,9,girl,5,lowest,lowest,lowest,non-denominational,121
233,10,boy,4,7,lowest,5,catholic,104
234,10,girl,2,7,5,3,catholic,86
235,10,boy,4,7,7,NA,catholic,105
236,10,boy,2,2,5,5,catholic,107
237,10,girl,4,4,5,3,catholic,104
238,10,girl,2,5,lowest,3,catholic,95
239,10,girl,2,4,lowest,5,catholic,101
240,10,boy,4,3,lowest,2,catholic,112
241,10,girl,2,lowest,lowest,3,catholic,94
242,10,boy,2,8,5,5,catholic,96
243,10,girl,2,2,2,3,catholic,97
244,10,boy,4,2,lowest,4,catholic,111
245,10,boy,4,2,3,2,catholic,110
246,10,boy,2,lowest,lowest,3,catholic,93
247,10,girl,2,2,lowest,2,catholic,77
248,10,girl,2,lowest,5,2,catholic,101
249,10,boy,2,3,3,2,catholic,100
250,10,girl,2,lowest,lowest,2,catholic,100
251,10,boy,2,5,3,3,catholic,100
252,10,boy,4,8,lowest,highest,catholic,109
253,10,girl,4,3,lowest,NA,catholic,103
254,10,girl,2,lowest,lowest,2,catholic,79
255,10,boy,4,2,lowest,3,catholic,109
256,10,girl,4,7,5,3,catholic,106
257,10,girl,4,NA,NA,2,catholic,112
258,10,boy,4,2,3,2,catholic,114
259,10,boy,highest,6,5,5,catholic,125
260,11,girl,2,lowest,lowest,4,non-denominational,78
261,11,girl,4,lowest,lowest,2,non-denominational,109
262,11,girl,2,lowest,lowest,NA,non-denominational,79
263,11,boy,2,NA,NA,4,non-denominational,88
264,11,boy,2,lowest,lowest,2,non-denominational,91
265,11,girl,2,lowest,lowest,lowest,non-denominational,69
266,11,boy,2,lowest,lowest,lowest,non-denominational,68
267,11,girl,2,2,lowest,lowest,non-denominational,81
268,11,boy,2,lowest,lowest,2,non-denominational,92
269,11,girl,2,NA,lowest,NA,non-denominational,71
270,11,boy,4,NA,NA,2,non-denominational,104
271,11,boy,2,2,lowest,lowest,non-denominational,99
272,11,girl,2,lowest,lowest,2,non-denominational,78
273,11,boy,2,NA,3,NA,non-denominational,79
274,11,boy,2,lowest,lowest,2,non-denominational,89
275,11,girl,2,2,lowest,NA,non-denominational,95
276,11,girl,2,lowest,lowest,lowest,non-denominational,87
277,11,girl,4,lowest,lowest,NA,non-denominational,105
278,11,girl,4,lowest,lowest,2,non-denominational,102
279,12,girl,2,2,5,5,non-denominational,103
280,12,girl,2,lowest,lowest,2,non-denominational,85
281,12,boy,4,7,7,3,non-denominational,106
282,12,boy,2,2,lowest,2,non-denominational,98
283,12,boy,4,8,5,3,non-denominational,108
284,12,girl,4,5,lowest,3,non-denominational,105
285,12,girl,2,2,lowest,4,non-denominational,97
286,12,girl,4,3,lowest,4,non-denominational,111
287,12,boy,lowest,lowest,lowest,5,non-denominational,68
288,12,girl,2,7,7,NA,non-denominational,96
289,12,girl,2,lowest,lowest,2,non-denominational,90
290,12,girl,2,3,2,3,non-denominational,104
291,12,boy,2,2,lowest,2,non-denominational,87
292,12,boy,4,lowest,lowest,lowest,non-denominational,113
293,12,girl,4,lowest,lowest,2,non-denominational,104
294,12,girl,2,3,3,3,non-denominational,101
295,12,boy,2,6,lowest,5,non-denominational,102
296,12,boy,2,lowest,3,4,non-denominational,94
297,12,girl,2,lowest,lowest,5,non-denominational,96
298,12,boy,4,7,6,5,non-denominational,101
299,12,boy,2,lowest,lowest,NA,non-denominational,101
300,12,boy,2,lowest,lowest,4,non-denominational,88
301,12,girl,2,lowest,lowest,NA,non-denominational,75
302,12,girl,4,2,lowest,2,non-denominational,105
303,12,boy,2,6,6,4,non-denominational,79
304,12,boy,5,4,lowest,2,non-denominational,111
305,12,girl,2,lowest,lowest,3,non-denominational,87
306,13,boy,lowest,lowest,lowest,3,non-denominational,91
307,13,girl,lowest,lowest,lowest,lowest,non-denominational,88
308,13,boy,4,3,lowest,lowest,non-denominational,118
309,13,girl,lowest,lowest,3,lowest,non-denominational,83
310,13,girl,2,NA,NA,NA,non-denominational,104
311,13,boy,lowest,lowest,lowest,NA,non-denominational,85
312,13,girl,2,lowest,lowest,2,non-denominational,93
313,13,boy,2,lowest,lowest,NA,non-denominational,75
314,13,girl,2,lowest,lowest,NA,non-denominational,92
315,13,girl,lowest,lowest,lowest,2,non-denominational,83
316,13,boy,2,lowest,lowest,2,non-denominational,96
317,13,girl,lowest,lowest,lowest,2,non-denominational,92
318,13,boy,2,5,3,NA,non-denominational,96
319,13,girl,2,lowest,3,2,non-denominational,98
320,13,girl,lowest,lowest,lowest,lowest,non-denominational,88
321,13,boy,lowest,lowest,lowest,NA,non-denominational,81
322,13,boy,2,lowest,lowest,lowest,non-denominational,90
323,13,boy,2,2,lowest,NA,non-denominational,77
324,13,boy,lowest,lowest,lowest,2,non-denominational,84
325,13,boy,2,lowest,lowest,2,non-denominational,104
326,13,girl,2,lowest,lowest,2,non-denominational,106
327,14,girl,4,lowest,lowest,3,non-denominational,105
328,14,boy,2,2,lowest,2,non-denominational,100
329,14,boy,2,lowest,lowest,4,non-denominational,95
330,14,boy,lowest,7,3,3,non-denominational,92
331,14,girl,2,7,3,3,non-denominational,97
332,14,boy,2,5,5,3,non-denominational,94
333,14,boy,2,2,lowest,2,non-denominational,98
334,14,boy,2,3,2,2,non-denominational,102
335,14,girl,2,3,lowest,2,non-denominational,105
336,14,girl,4,3,lowest,3,non-denominational,103
337,14,boy,2,lowest,lowest,lowest,non-denominational,84
338,14,boy,2,2,lowest,3,non-denominational,102
339,14,girl,5,4,lowest,2,non-denominational,114
340,14,boy,4,6,2,2,non-denominational,109
341,14,boy,2,lowest,lowest,2,non-denominational,82
342,14,boy,5,4,3,5,non-denominational,117
343,14,boy,2,lowest,lowest,2,non-denominational,101
344,14,girl,2,lowest,lowest,2,non-denominational,72
345,14,boy,lowest,lowest,lowest,lowest,non-denominational,86
346,14,girl,2,7,5,highest,non-denominational,98
347,14,boy,2,3,3,5,non-denominational,99
348,14,boy,2,NA,NA,2,non-denominational,100
349,14,girl,lowest,7,4,5,non-denominational,86
350,14,girl,2,4,5,2,non-denominational,93
351,15,girl,2,lowest,lowest,2,non-denominational,96
352,15,boy,4,7,7,3,non-denominational,108
353,15,boy,2,3,3,5,non-denominational,102
354,15,girl,4,6,5,5,non-denominational,107
355,15,girl,5,5,3,NA,non-denominational,118
356,15,girl,4,3,5,2,non-denominational,105
357,15,boy,4,4,lowest,5,non-denominational,114
358,15,boy,5,7,5,5,non-denominational,121
359,15,boy,4,6,6,3,non-denominational,108
360,15,boy,2,5,7,lowest,non-denominational,87
361,15,boy,2,5,7,lowest,non-denominational,93
362,15,girl,2,lowest,lowest,lowest,non-denominational,101
363,15,boy,4,lowest,lowest,3,non-denominational,108
364,15,boy,2,5,3,5,non-denominational,89
365,15,girl,4,lowest,lowest,2,non-denominational,106
366,15,girl,4,6,lowest,3,non-denominational,110
367,15,girl,2,5,3,3,non-denominational,96
368,15,boy,highest,8,5,4,non-denominational,136
369,15,boy,2,2,lowest,2,non-denominational,107
370,15,girl,2,3,lowest,lowest,non-denominational,95
371,15,boy,5,4,3,5,non-denominational,120
372,15,girl,highest,8,5,5,non-denominational,133
373,15,boy,4,7,3,highest,non-denominational,110
374,15,boy,5,6,5,3,non-denominational,116
375,15,boy,lowest,lowest,lowest,3,non-denominational,78
376,15,boy,2,NA,NA,3,non-denominational,101
377,15,boy,2,7,5,3,non-denominational,105
378,15,boy,2,lowest,lowest,NA,non-denominational,94
379,15,girl,4,6,lowest,5,non-denominational,109
380,15,girl,2,7,lowest,NA,non-denominational,91
381,16,girl,2,4,lowest,5,non-denominational,79
382,16,boy,2,5,lowest,5,non-denominational,100
383,16,boy,2,2,lowest,4,non-denominational,87
384,16,boy,5,3,lowest,3,non-denominational,120
385,16,boy,5,2,3,2,non-denominational,115
386,16,boy,5,highest,7,highest,non-denominational,116
387,16,girl,5,8,7,highest,non-denominational,109
388,16,boy,5,5,3,4,non-denominational,100
389,16,boy,4,2,5,3,non-denominational,112
390,16,girl,2,4,2,4,non-denominational,104
391,16,boy,2,4,2,4,non-denominational,100
392,16,girl,4,8,lowest,3,non-denominational,112
393,16,girl,4,7,3,5,non-denominational,118
394,16,boy,2,5,lowest,2,non-denominational,97
395,16,boy,4,6,5,highest,non-denominational,110
396,16,boy,4,7,8,3,non-denominational,112
397,16,boy,4,7,4,5,non-denominational,107
398,16,girl,4,5,5,5,non-denominational,112
399,16,boy,4,lowest,lowest,2,non-denominational,114
400,16,boy,4,lowest,lowest,lowest,non-denominational,113
401,16,boy,4,2,lowest,3,non-denominational,102
402,17,boy,2,4,3,4,non-denominational,92
403,17,boy,4,8,4,5,non-denominational,111
404,17,girl,2,lowest,3,NA,non-denominational,99
405,17,boy,4,6,5,3,non-denominational,109
406,17,girl,2,7,7,5,non-denominational,101
407,17,girl,highest,5,3,3,non-denominational,126
408,17,boy,4,3,lowest,2,non-denominational,108
409,17,girl,4,4,3,4,non-denominational,114
410,17,boy,2,6,lowest,3,non-denominational,100
411,17,girl,2,lowest,5,3,non-denominational,109
412,17,boy,2,lowest,lowest,3,non-denominational,106
413,17,girl,2,5,5,3,non-denominational,93
414,17,girl,2,6,3,5,non-denominational,106
415,17,boy,4,highest,4,highest,non-denominational,112
416,17,girl,5,lowest,lowest,2,non-denominational,120
417,17,girl,2,highest,7,highest,non-denominational,103
418,17,boy,highest,highest,highest,highest,non-denominational,131
419,17,girl,2,NA,NA,highest,non-denominational,92
420,17,girl,4,5,7,3,non-denominational,109
421,17,boy,highest,4,lowest,5,non-denominational,126
422,17,girl,2,lowest,lowest,4,non-denominational,94
423,17,boy,2,lowest,lowest,2,non-denominational,110
424,17,girl,2,6,lowest,5,non-denominational,95
425,17,girl,4,lowest,lowest,2,non-denominational,109
426,17,girl,4,5,lowest,3,non-denominational,108
427,17,boy,5,4,5,3,non-denominational,120
428,17,boy,4,5,3,highest,non-denominational,113
429,17,girl,5,lowest,lowest,3,non-denominational,116
430,17,girl,2,3,3,2,non-denominational,95
431,17,boy,4,lowest,5,5,non-denominational,109
432,17,boy,2,6,3,4,non-denominational,93
433,17,girl,4,3,3,5,non-denominational,116
434,17,girl,2,5,lowest,5,non-denominational,88
435,17,boy,4,highest,7,highest,non-denominational,100
436,18,girl,2,4,lowest,3,non-denominational,96
437,18,girl,2,lowest,5,3,non-denominational,98
438,18,girl,lowest,lowest,lowest,2,non-denominational,76
439,18,girl,4,lowest,3,3,non-denominational,108
440,18,boy,4,6,5,3,non-denominational,107
441,18,boy,5,lowest,2,lowest,non-denominational,119
442,18,boy,5,7,5,highest,non-denominational,118
443,18,girl,2,NA,4,NA,non-denominational,95
444,18,boy,2,4,lowest,3,non-denominational,96
445,18,boy,2,lowest,lowest,2,non-denominational,96
446,18,boy,2,NA,NA,2,non-denominational,92
447,18,boy,4,7,5,3,non-denominational,106
448,18,boy,5,3,lowest,3,non-denominational,118
449,18,girl,2,6,6,4,non-denominational,95
450,18,boy,2,8,6,highest,non-denominational,100
451,18,boy,2,4,lowest,2,non-denominational,95
452,18,girl,lowest,lowest,lowest,2,non-denominational,80
453,18,girl,5,7,lowest,3,non-denominational,113
454,18,boy,4,5,5,3,non-denominational,102
455,18,boy,4,7,4,5,non-denominational,110
456,18,girl,2,8,lowest,4,non-denominational,95
457,18,boy,2,lowest,lowest,2,non-denominational,104
458,18,girl,2,5,3,5,non-denominational,107
459,18,boy,4,5,3,3,non-denominational,106
460,19,girl,2,3,lowest,2,non-denominational,96
461,19,boy,2,5,5,5,non-denominational,100
462,19,boy,2,NA,NA,3,non-denominational,91
463,19,girl,2,5,lowest,3,non-denominational,87
464,19,boy,5,lowest,lowest,NA,non-denominational,118
465,19,boy,4,lowest,3,lowest,non-denominational,108
466,19,boy,5,NA,NA,2,non-denominational,120
467,19,girl,2,3,lowest,2,non-denominational,102
468,19,boy,2,lowest,lowest,5,non-denominational,93
469,19,boy,2,6,lowest,NA,non-denominational,98
470,19,boy,2,lowest,lowest,2,non-denominational,103
471,19,girl,2,NA,NA,2,non-denominational,91
472,19,girl,2,4,lowest,2,non-denominational,94
473,19,boy,2,lowest,lowest,2,non-denominational,100
474,19,boy,5,lowest,3,2,non-denominational,119
475,19,girl,2,2,5,2,non-denominational,98
476,19,boy,5,lowest,lowest,2,non-denominational,118
477,19,boy,2,lowest,lowest,lowest,non-denominational,90
478,19,boy,2,NA,NA,2,non-denominational,95
479,19,girl,2,lowest,lowest,lowest,non-denominational,87
480,20,boy,2,2,2,lowest,non-denominational,101
481,20,girl,5,lowest,2,lowest,non-denominational,115
482,20,girl,4,5,3,3,non-denominational,108
483,20,boy,4,4,3,2,non-denominational,103
484,20,girl,4,NA,NA,2,non-denominational,115
485,20,girl,4,5,5,3,non-denominational,108
486,20,girl,2,3,3,2,non-denominational,105
487,20,boy,5,lowest,lowest,NA,non-denominational,122
488,20,boy,2,3,lowest,2,non-denominational,92
489,20,girl,5,3,5,5,non-denominational,112
490,20,boy,2,2,3,4,non-denominational,98
491,20,boy,4,3,lowest,5,non-denominational,98
492,20,boy,4,lowest,lowest,2,non-denominational,104
493,20,boy,4,lowest,lowest,2,non-denominational,103
494,20,girl,lowest,lowest,lowest,2,non-denominational,87
495,20,girl,2,4,lowest,3,non-denominational,101
496,20,boy,4,2,5,2,non-denominational,103
497,20,boy,2,2,5,2,non-denominational,102
