sid,school,sex,advice,feduc,meduc,focc,denom,galo
498,20,boy,lowest,lowest,lowest,3,non-denominational,77
499,20,boy,2,lowest,lowest,NA,non-denominational,93
500,20,girl,2,lowest,lowest,2,non-denominational,90
501,20,girl,2,lowest,lowest,3,non-denominational,88
502,20,boy,4,lowest,lowest,lowest,non-denominational,108
503,20,boy,2,2,2,4,non-denominational,106
504,21,girl,2,lowest,lowest,2,non-denominational,71
505,21,girl,4,NA,NA,5,non-denominational,109
506,21,girl,2,7,2,3,non-denominational,103
507,21,boy,2,5,lowest,2,non-denominational,101
508,21,boy,4,lowest,3,2,non-denominational,110
509,21,girl,2,4,lowest,2,non-denominational,96
510,21,girl,2,lowest,lowest,NA,non-denominational,96
511,21,girl,4,5,5,3,non-denominational,104
512,21,boy,2,5,2,5,non-denominational,107
513,21,boy,2,4,2,2,non-denominational,108
514,21,girl,2,lowest,lowest,5,non-denominational,106
515,21,boy,2,3,2,2,non-denominational,91
516,21,girl,2,lowest,2,2,non-denominational,85
517,21,girl,4,5,5,3,non-denominational,81
518,21,boy,4,2,lowest,3,non-denominational,111
519,21,boy,2,lowest,lowest,NA,non-denominational,91
520,21,boy,4,5,5,highest,non-denominational,112
521,21,boy,4,7,7,highest,non-denominational,113
522,21,girl,2,lowest,lowest,5,non-denominational,101
523,21,girl,2,lowest,lowest,2,non-denominational,92
524,21,boy,2,3,lowest,2,non-denominational,95
525,21,boy,2,lowest,lowest,lowest,non-denominational,86
526,21,boy,2,3,6,3,non-denominational,83
527,21,girl,2,5,lowest,5,non-denominational,97
528,21,girl,4,4,lowest,2,non-denominational,108
529,21,girl,2,4,lowest,5,non-denominational,100
530,21,girl,4,4,lowest,5,non-denominational,110
531,22,boy,2,3,lowest,5,non-denominational,110
532,22,girl,2,3,5,2,non-denominational,93
533,22,girl,2,3,5,2,non-denominational,70
534,22,girl,4,lowest,lowest,3,non-denominational,106
535,22,boy,2,4,lowest,2,non-denominational,99
536,22,girl,2,NA,3,NA,non-denominational,87
537,22,girl,2,lowest,5,3,non-denominational,101
538,22,girl,2,7,3,highest,non-denominational,96
539,22,boy,4,5,5,3,non-denominational,102
540,22,boy,2,3,lowest,3,non-denominational,94
541,22,girl,2,4,lowest,2,non-denominational,87
542,22,boy,4,lowest,lowest,lowest,non-denominational,110
543,22,boy,2,lowest,lowest,NA,non-denominational,89
544,22,girl,2,3,6,highest,non-denominational,78
545,22,girl,highest,7,lowest,2,non-denominational,129
546,22,boy,4,3,lowest,2,non-denominational,114
547,22,boy,4,5,4,3,non-denominational,107
548,22,girl,4,NA,NA,2,non-denominational,110
549,22,boy,2,4,2,5,non-denominational,103
550,22,boy,2,NA,NA,NA,non-denominational,94
551,22,girl,2,NA,lowest,3,non-denominational,102
552,22,girl,5,7,lowest,3,non-denominational,123
553,22,girl,2,highest,4,highest,non-denominational,101
554,22,boy,4,lowest,lowest,NA,non-denominational,112
555,23,girl,2,3,lowest,2,non-denominational,85
556,23,boy,2,6,6,5,non-denominational,101
557,23,girl,5,lowest,lowest,2,non-denominational,123
558,23,girl,4,6,lowest,5,non-denominational,110
559,23,girl,2,lowest,lowest,2,non-denominational,104
560,23,girl,4,lowest,lowest,2,non-denominational,118
561,23,girl,2,4,5,5,non-denominational,94
562,23,boy,4,4,6,highest,non-denominational,114
563,23,boy,4,8,6,5,non-denominational,112
564,23,girl,2,5,3,4,non-denominational,95
565,23,girl,2,8,7,5,non-denominational,97
566,23,girl,2,5,3,2,non-denominational,93
567,23,girl,highest,7,7,highest,non-denominational,139
568,23,girl,2,4,3,2,non-denominational,99
569,23,girl,4,lowest,lowest,2,non-denominational,113
570,23,boy,5,7,4,4,non-denominational,116
571,23,boy,2,7,3,5,non-denominational,99
572,23,boy,2,7,7,2,non-denominational,103
573,23,girl,4,3,3,2,non-denominational,105
574,23,girl,2,4,lowest,3,non-denominational,86
575,23,girl,4,5,6,3,non-denominational,110
576,23,boy,2,4,4,3,non-denominational,108
577,23,girl,4,6,5,5,non-denominational,108
578,23,boy,2,3,3,3,non-denominational,85
579,23,boy,5,7,5,5,non-denominational,118
580,23,boy,5,7,7,3,non-denominational,115
581,23,girl,2,NA,5,NA,non-denominational,97
582,23,girl,highest,8,8,highest,non-denominational,128
583,23,girl,2,3,lowest,3,non-denominational,93
584,23,girl,4,6,6,3,non-denominational,107
585,23,boy,2,4,5,2,non-denominational,98
586,23,boy,2,7,5,2,non-denominational,103
587,23,boy,2,6,lowest,5,non-denominational,90
588,24,boy,2,lowest,4,2,non-denominational,99
589,24,girl,2,5,lowest,2,non-denominational,93
590,24,boy,2,lowest,lowest,lowest,non-denominational,86
591,24,girl,4,6,5,5,non-denominational,106
592,24,boy,lowest,lowest,lowest,2,non-denominational,80
593,24,girl,2,2,lowest,2,non-denominational,104
594,24,boy,4,lowest,lowest,2,non-denominational,109
595,24,girl,5,4,lowest,3,non-denominational,119
596,24,boy,2,3,lowest,NA,non-denominational,98
597,24,boy,2,lowest,lowest,2,non-denominational,111
598,24,girl,2,3,lowest,2,non-denominational,96
599,24,girl,4,lowest,lowest,3,non-denominational,109
600,24,girl,2,6,lowest,3,non-denominational,97
601,24,girl,4,lowest,lowest,5,non-denominational,113
602,24,boy,5,7,4,5,non-denominational,115
603,24,boy,2,5,5,3,non-denominational,96
604,24,girl,2,6,3,3,non-denominational,96
605,24,girl,4,5,5,3,non-denominational,105
606,24,boy,2,lowest,lowest,3,non-denominational,91
607,24,boy,4,lowest,lowest,5,non-denominational,108
608,24,boy,2,lowest,lowest,2,non-denominational,94
609,25,boy,2,4,5,5,non-denominational,105
610,25,girl,2,3,lowest,3,non-denominational,96
611,25,boy,2,5,lowest,3,non-denominational,92
612,25,boy,2,lowest,lowest,4,non-denominational,84
613,25,girl,4,2,lowest,2,non-denominational,105
614,25,boy,2,lowest,lowest,lowest,non-denominational,88
615,25,girl,2,5,3,4,non-denominational,89
616,25,boy,5,4,4,3,non-denominational,120
617,25,boy,2,lowest,lowest,4,non-denominational,85
618,25,boy,2,lowest,lowest,2,non-denominational,101
619,25,girl,4,6,3,3,non-denominational,109
620,25,boy,4,NA,lowest,NA,non-denominational,112
621,25,girl,2,NA,lowest,NA,non-denominational,99
622,25,boy,2,lowest,lowest,2,non-denominational,83
623,25,boy,2,lowest,lowest,lowest,non-denominational,109
624,25,boy,2,3,lowest,4,non-denominational,81
625,25,girl,2,NA,6,NA,non-denominational,99
626,25,boy,2,lowest,lowest,lowest,non-denominational,96
627,25,boy,2,NA,lowest,NA,non-denominational,94
628,25,boy,4,7,3,2,non-denominational,108
629,25,girl,2,lowest,lowest,3,non-denominational,94
630,25,boy,2,lowest,lowest,lowest,non-denominational,103
631,25,girl,4,lowest,lowest,3,non-denominational,102
632,26,girl,2,lowest,3,2,non-denominational,101
633,26,girl,2,lowest,lowest,2,non-denominational,98
634,26,boy,2,3,lowest,2,non-denominational,98
635,26,girl,4,4,lowest,4,non-denominational,112
636,26,girl,2,NA,NA,NA,non-denominational,102
637,26,boy,4,3,2,2,non-denominational,110
638,26,boy,4,3,lowest,3,non-denominational,109
639,26,boy,4,NA,NA,2,non-denominational,114
640,26,boy,4,5,5,3,non-denominational,106
641,26,girl,2,lowest,3,lowest,non-denominational,96
642,26,boy,2,NA,5,NA,non-denominational,95
643,26,girl,2,lowest,lowest,2,non-denominational,96
644,26,boy,4,lowest,lowest,2,non-denominational,113
645,26,girl,4,6,5,5,non-denominational,107
646,26,boy,2,3,5,3,non-denominational,93
647,26,girl,2,2,lowest,2,non-denominational,102
648,26,girl,lowest,lowest,lowest,lowest,non-denominational,89
649,26,girl,4,8,5,5,non-denominational,109
650,26,boy,2,3,3,4,non-denominational,103
651,26,girl,4,3,5,5,non-denominational,113
652,26,boy,2,NA,NA,2,non-denominational,105
653,26,girl,4,3,lowest,NA,non-denominational,110
654,26,girl,2,3,lowest,2,non-denominational,95
655,26,girl,2,lowest,lowest,3,non-denominational,100
656,26,girl,2,3,lowest,NA,non-denominational,98
657,26,girl,2,3,lowest,3,non-denominational,104
658,27,boy,2,NA,6,NA,non-denominational,98
659,27,girl,5,7,5,5,non-denominational,121
660,27,girl,2,lowest,lowest,3,non-denominational,89
661,27,girl,2,8,5,2,non-denominational,88
662,27,boy,highest,7,6,highest,non-denominational,130
663,27,boy,5,7,7,5,non-denominational,108
664,27,boy,lowest,6,6,4,non-denominational,89
665,27,boy,5,8,5,highest,non-denominational,115
666,27,girl,2,7,5,4,non-denominational,88
667,27,boy,4,7,lowest,highest,non-denominational,111
668,27,girl,2,5,2,3,non-denominational,81
669,27,girl,4,5,5,3,non-denominational,112
670,27,boy,5,6,3,3,non-denominational,114
671,27,girl,2,7,lowest,highest,non-denominational,112
672,27,girl,2,3,lowest,3,non-denominational,89
673,27,boy,2,6,3,5,non-denominational,102
674,27,girl,2,lowest,lowest,4,non-denominational,104
675,27,girl,4,3,5,3,non-denominational,103
676,27,girl,2,lowest,lowest,3,non-denominational,86
677,27,boy,5,lowest,lowest,lowest,non-denominational,121
678,27,boy,4,5,2,3,non-denominational,97
679,27,girl,5,6,3,highest,non-denominational,112
680,27,boy,4,3,3,3,non-denominational,100
681,27,boy,4,lowest,lowest,lowest,non-denominational,110
682,27,boy,4,lowest,lowest,4,non-denominational,107
683,27,boy,5,7,7,highest,non-denominational,114
684,27,girl,2,2,lowest,lowest,non-denominational,97
685,27,girl,2,NA,NA,NA,non-denominational,98
686,27,girl,4,8,3,highest,non-denominational,102
687,27,girl,5,NA,highest,NA,non-denominational,112
688,27,boy,5,5,3,3,non-denominational,111
689,27,boy,4,7,5,5,non-denominational,103
690,27,boy,2,5,6,4,non-denominational,98
691,27,girl,5,8,7,5,non-denominational,121
692,27,boy,2,3,lowest,highest,non-denominational,97
693,27,boy,5,7,5,5,non-denominational,113
694,27,girl,2,NA,5,NA,non-denominational,101
695,28,boy,2,6,lowest,5,protestant,98
696,28,girl,2,6,6,highest,protestant,100
697,28,boy,4,7,5,highest,protestant,114
698,28,boy,2,lowest,lowest,3,protestant,81
699,28,boy,4,7,6,highest,protestant,109
700,28,girl,2,lowest,3,lowest,protestant,80
701,28,boy,4,lowest,lowest,3,protestant,111
702,28,boy,5,3,5,3,protestant,123
703,28,boy,4,8,7,highest,protestant,104
704,28,boy,2,5,lowest,3,protestant,99
705,28,boy,lowest,lowest,lowest,lowest,protestant,87
706,28,boy,4,7,6,3,protestant,103
707,28,boy,4,6,3,3,protestant,110
708,28,girl,2,3,3,2,protestant,84
709,28,boy,2,4,3,4,protestant,95
710,28,boy,4,4,3,2,protestant,109
711,28,girl,4,6,3,3,protestant,110
712,28,girl,lowest,lowest,3,2,protestant,78
713,28,girl,2,7,5,5,protestant,96
714,28,girl,2,NA,lowest,NA,protestant,100
715,28,girl,2,lowest,lowest,3,protestant,99
716,28,boy,2,3,3,2,protestant,84
717,28,boy,4,NA,5,NA,protestant,106
718,28,girl,4,lowest,lowest,2,protestant,106
719,28,girl,4,highest,3,highest,protestant,113
720,28,boy,4,lowest,lowest,2,protestant,105
721,28,boy,2,2,NA,2,protestant,92
722,28,boy,2,lowest,lowest,3,protestant,81
723,28,boy,2,lowest,lowest,2,protestant,88
724,28,girl,2,lowest,3,2,protestant,98
725,28,girl,4,2,2,4,protestant,112
726,28,girl,2,lowest,lowest,3,protestant,80
727,28,boy,2,6,6,3,protestant,102
728,29,girl,4,3,lowest,2,non-denominational,109
729,29,boy,highest,7,7,3,non-denominational,127
730,29,girl,4,8,3,3,non-denominational,109
731,29,boy,2,NA,NA,2,non-denominational,88
732,29,boy,2,3,lowest,2,non-denominational,98
733,29,girl,highest,6,5,3,non-denominational,130
734,29,boy,5,4,5,lowest,non-denominational,119
735,29,girl,4,8,5,3,non-denominational,103
736,29,boy,4,5,5,5,non-denominational,104
737,29,boy,2,6,5,5,non-denominational,91
738,29,girl,highest,7,6,3,non-denominational,127
739,29,boy,5,5,5,3,non-denominational,113
740,29,boy,5,3,lowest,2,non-denominational,118
741,29,boy,2,3,3,NA,non-denominational,111
742,29,girl,5,7,7,3,non-denominational,118
743,29,girl,2,5,3,3,non-denominational,93
744,29,girl,5,5,5,3,non-denominational,111
745,29,girl,4,6,3,3,non-denominational,101
746,29,girl,5,5,lowest,3,non-denominational,117
747,29,boy,5,5,7,5,non-denominational,114
748,29,girl,4,lowest,5,3,non-denominational,102
749,29,girl,2,7,6,5,non-denominational,97
750,29,girl,4,5,5,2,non-denominational,109
751,29,girl,5,4,3,3,non-denominational,114
752,29,girl,5,3,lowest,NA,non-denominational,118
753,29,boy,2,5,lowest,3,non-denominational,111
754,29,girl,5,2,5,3,non-denominational,120
755,29,girl,2,6,3,3,non-denominational,88
756,29,girl,2,lowest,lowest,NA,non-denominational,87
757,29,boy,4,5,3,5,non-denominational,113
758,29,girl,2,lowest,lowest,2,non-denominational,94
759,29,boy,2,4,lowest,5,non-denominational,102
760,29,boy,2,lowest,lowest,2,non-denominational,89
761,29,boy,5,6,5,3,non-denominational,111
762,29,girl,5,6,6,3,non-denominational,109
763,29,boy,2,4,4,2,non-denominational,96
764,30,boy,5,8,7,highest,non-denominational,120
765,30,boy,2,6,lowest,5,non-denominational,105
766,30,boy,highest,7,7,highest,non-denominational,138
767,30,boy,highest,7,5,highest,non-denominational,121
768,30,girl,4,highest,7,highest,non-denominational,96
769,30,boy,4,7,7,5,non-denominational,101
770,30,girl,NA,2,lowest,3,non-denominational,91
771,30,boy,5,8,2,highest,non-denominational,113
772,30,girl,4,7,5,2,non-denominational,106
773,30,boy,highest,7,6,5,non-denominational,127
774,30,girl,4,3,lowest,3,non-denominational,107
775,30,boy,4,8,4,5,non-denominational,112
776,30,boy,5,7,7,highest,non-denominational,113
777,30,girl,5,4,3,3,non-denominational,116
778,30,boy,2,6,3,5,non-denominational,122
779,30,boy,5,6,7,highest,non-denominational,118
780,30,boy,highest,highest,6,highest,non-denominational,125
781,30,girl,5,5,5,5,non-denominational,116
782,30,boy,highest,highest,highest,highest,non-denominational,129
783,30,boy,5,7,3,3,non-denominational,122
784,30,girl,5,highest,highest,highest,non-denominational,120
785,30,boy,highest,highest,7,highest,non-denominational,131
786,30,boy,4,8,6,3,non-denominational,106
787,30,boy,highest,7,6,highest,non-denominational,130
788,30,boy,highest,6,6,3,non-denominational,126
789,30,girl,2,highest,highest,highest,non-denominational,114
790,30,girl,highest,2,2,2,non-denominational,129
791,30,girl,5,8,7,highest,non-denominational,120
792,30,boy,2,5,5,4,non-denominational,101
793,30,girl,5,7,5,highest,non-denominational,118
794,30,boy,2,5,lowest,3,non-denominational,100
795,30,boy,highest,7,3,4,non-denominational,125
796,30,girl,4,2,lowest,5,non-denominational,102
797,30,boy,highest,7,5,3,non-denominational,135
798,30,girl,highest,highest,highest,highest,non-denominational,135
799,30,boy,highest,7,7,5,non-denominational,138
800,30,boy,2,3,2,3,non-denominational,102
801,30,girl,4,5,lowest,3,non-denominational,112
802,30,girl,highest,highest,highest,highest,non-denominational,125
803,30,boy,5,8,5,5,non-denominational,122
804,30,girl,4,6,3,5,non-denominational,106
805,30,boy,4,7,6,4,non-denominational,106
806,31,girl,5,2,2,5,non-denominational,113
807,31,boy,4,5,lowest,4,non-denominational,112
808,31,girl,2,3,5,3,non-denominational,96
809,31,boy,2,6,4,5,non-denominational,95
810,31,girl,2,4,lowest,2,non-denominational,92
811,31,girl,2,lowest,lowest,3,non-denominational,101
812,31,boy,4,5,lowest,5,non-denominational,112
813,31,girl,2,6,3,3,non-denominational,90
814,31,girl,5,4,5,5,non-denominational,117
815,31,girl,2,5,lowest,5,non-denominational,84
816,31,girl,5,6,7,2,non-denominational,119
817,31,girl,2,6,lowest,5,non-denominational,99
818,31,boy,2,5,lowest,3,non-denominational,106
819,31,boy,4,2,lowest,5,non-denominational,111
820,31,boy,2,3,3,2,non-denominational,97
821,31,girl,2,lowest,3,2,non-denominational,96
822,31,girl,2,lowest,lowest,2,non-denominational,96
823,31,boy,4,6,lowest,5,non-denominational,104
824,31,boy,2,7,lowest,3,non-denominational,108
825,31,boy,5,5,5,3,non-denominational,116
826,31,boy,2,lowest,lowest,lowest,non-denominational,92
827,31,boy,2,lowest,lowest,3,non-denominational,99
828,32,boy,highest,highest,7,highest,non-denominational,129
829,32,girl,highest,highest,highest,highest,non-denominational,126
830,32,boy,4,7,7,3,non-denominational,110
831,32,girl,5,7,6,highest,non-denominational,117
832,32,girl,4,8,7,highest,non-denominational,125
833,32,boy,5,7,7,highest,non-denominational,123
834,32,girl,4,lowest,5,5,non-denominational,108
835,32,boy,highest,5,5,3,non-denominational,130
836,32,girl,4,highest,7,highest,non-denominational,109
837,32,girl,2,6,5,5,non-denominational,103
838,32,boy,4,highest,7,highest,non-denominational,113
839,32,boy,5,7,5,highest,non-denominational,120
840,32,boy,2,highest,7,highest,non-denominational,95
841,32,boy,highest,8,5,5,non-denominational,133
842,32,girl,5,7,2,5,non-denominational,123
843,32,boy,4,5,5,5,non-denominational,103
844,32,boy,highest,7,4,highest,non-denominational,129
845,32,girl,4,8,6,5,non-denominational,114
846,32,girl,4,8,3,5,non-denominational,104
847,32,boy,4,2,2,3,non-denominational,114
848,32,girl,5,5,5,highest,non-denominational,122
849,32,boy,2,highest,7,highest,non-denominational,98
850,32,girl,highest,8,5,3,non-denominational,121
851,32,boy,2,5,3,5,non-denominational,100
852,32,boy,2,5,5,4,non-denominational,94
853,32,boy,4,6,2,4,non-denominational,114
854,32,boy,5,8,5,5,non-denominational,117
855,32,girl,2,4,6,2,non-denominational,96
856,32,boy,4,highest,highest,highest,non-denominational,112
857,32,boy,4,8,7,highest,non-denominational,113
858,32,girl,highest,8,7,highest,non-denominational,125
859,32,boy,no subsequent school,highest,7,highest,non-denominational,100
860,32,girl,4,highest,highest,highest,non-denominational,106
861,32,boy,4,highest,7,highest,non-denominational,108
862,32,girl,highest,7,6,5,non-denominational,126
863,33,girl,5,7,5,5,non-denominational,119
864,33,girl,4,highest,7,highest,non-denominational,104
865,33,girl,2,7,5,4,non-denominational,101
866,33,boy,2,8,3,5,non-denominational,93
867,33,boy,5,8,5,4,non-denominational,121
868,33,girl,highest,highest,8,highest,non-denominational,127
869,33,girl,4,highest,highest,highest,non-denominational,102
870,33,girl,5,7,5,5,non-denominational,117
871,33,girl,2,5,3,3,non-denominational,91
872,33,boy,highest,highest,highest,highest,non-denominational,128
873,33,girl,5,6,6,3,non-denominational,114
874,33,girl,4,highest,6,highest,non-denominational,104
875,33,girl,4,7,7,3,non-denominational,105
876,33,girl,4,3,3,2,non-denominational,107
877,33,girl,4,4,4,5,non-denominational,101
878,33,boy,2,8,7,highest,non-denominational,101
879,33,girl,4,7,6,highest,non-denominational,106
880,33,boy,highest,highest,highest,highest,non-denominational,108
881,33,boy,4,highest,8,highest,non-denominational,103
882,33,boy,4,highest,8,highest,non-denominational,106
883,33,boy,2,highest,3,highest,non-denominational,101
884,33,girl,2,6,7,3,non-denominational,101
885,33,boy,4,8,7,3,non-denominational,107
886,33,girl,5,8,5,highest,non-denominational,110
887,33,boy,2,highest,7,highest,non-denominational,104
888,33,girl,5,highest,7,highest,non-denominational,109
889,33,boy,lowest,5,3,2,non-denominational,81
890,33,boy,4,5,5,3,non-denominational,105
891,33,boy,4,highest,8,highest,non-denominational,108
892,33,girl,2,6,lowest,highest,non-denominational,98
893,33,boy,5,highest,6,highest,non-denominational,120
894,33,girl,4,7,6,highest,non-denominational,103
895,33,girl,5,highest,7,highest,non-denominational,108
896,33,girl,4,8,5,highest,non-denominational,110
897,34,girl,4,7,7,highest,non-denominational,108
898,34,boy,4,lowest,lowest,2,non-denominational,114
899,34,boy,5,6,6,3,non-denominational,122
900,34,girl,2,4,3,4,non-denominational,101
901,34,boy,5,lowest,2,2,non-denominational,110
902,34,boy,2,5,lowest,2,non-denominational,96
903,34,girl,4,5,lowest,5,non-denominational,112
904,34,girl,2,lowest,lowest,4,non-denominational,84
905,34,boy,2,lowest,lowest,4,non-denominational,83
906,34,girl,2,3,3,3,non-denominational,94
907,34,girl,4,4,3,2,non-denominational,112
908,34,girl,2,5,lowest,3,non-denominational,112
909,34,boy,highest,highest,highest,highest,non-denominational,129
910,34,girl,4,7,2,5,non-denominational,111
911,34,boy,2,7,5,5,non-denominational,102
912,34,boy,2,6,5,4,non-denominational,95
913,34,girl,5,7,7,4,non-denominational,114
914,34,girl,highest,3,6,2,non-denominational,130
915,34,boy,2,6,3,5,non-denominational,100
916,34,boy,2,6,6,5,non-denominational,100
917,34,boy,5,7,lowest,3,non-denominational,120
918,34,boy,2,3,lowest,3,non-denominational,96
919,34,boy,4,5,lowest,3,non-denominational,107
920,34,girl,2,3,5,5,non-denominational,93
921,34,girl,4,6,lowest,2,non-denominational,110
922,34,girl,2,2,lowest,2,non-denominational,104
923,35,boy,4,5,lowest,3,non-denominational,113
924,35,girl,2,lowest,lowest,3,non-denominational,91
925,35,boy,2,3,lowest,2,non-denominational,91
926,35,boy,highest,4,lowest,3,non-denominational,129
927,35,girl,5,7,5,5,non-denominational,119
928,35,girl,4,6,lowest,3,non-denominational,104
929,35,girl,2,7,lowest,3,non-denominational,98
930,35,boy,4,5,lowest,3,non-denominational,105
931,35,boy,5,6,5,5,non-denominational,117
932,35,girl,2,NA,NA,2,non-denominational,81
933,35,boy,4,7,lowest,5,non-denominational,110
934,35,girl,2,3,4,2,non-denominational,93
935,35,girl,2,3,3,3,non-denominational,97
936,35,boy,4,3,5,3,non-denominational,101
937,35,girl,2,7,lowest,highest,non-denominational,89
938,35,girl,5,6,7,3,non-denominational,119
939,35,girl,2,2,lowest,3,non-denominational,80
940,35,boy,2,lowest,lowest,4,non-denominational,82
941,35,boy,2,4,2,5,non-denominational,80
942,35,girl,5,8,7,5,non-denominational,123
943,35,boy,4,4,3,3,non-denominational,105
944,35,girl,highest,6,3,3,non-denominational,133
945,35,girl,4,5,5,3,non-denominational,98
946,35,girl,5,4,lowest,highest,non-denominational,116
947,35,girl,2,2,2,2,non-denominational,89
948,35,girl,2,NA,NA,lowest,non-denominational,86
949,35,boy,2,3,lowest,2,non-denominational,76
950,35,girl,2,3,lowest,2,non-denominational,96
951,35,boy,2,4,4,4,non-denominational,92
952,35,boy,5,lowest,lowest,3,non-denominational,123
953,35,girl,2,lowest,lowest,3,non-denominational,89
954,35,boy,4,lowest,lowest,3,non-denominational,104
955,35,girl,4,NA,NA,3,non-denominational,105
956,35,girl,5,3,5,2,non-denominational,114
957,36,girl,5,highest,5,highest,non-denominational,120
958,36,boy,2,lowest,lowest,lowest,non-denominational,101
959,36,girl,2,NA,NA,NA,non-denominational,93
960,36,girl,highest,NA,5,NA,non-denominational,135
961,36,girl,2,5,3,3,non-denominational,98
962,36,girl,2,lowest,lowest,highest,non-denominational,103
963,36,boy,4,5,3,5,non-denominational,104
964,36,boy,2,NA,NA,2,non-denominational,102
965,36,girl,2,lowest,lowest,2,non-denominational,95
966,36,boy,4,6,6,3,non-denominational,111
967,36,girl,2,lowest,lowest,NA,non-denominational,83
968,36,girl,2,lowest,lowest,2,non-denominational,96
969,36,girl,lowest,7,6,highest,non-denominational,87
970,37,girl,2,lowest,lowest,2,non-denominational,96
971,37,boy,2,4,lowest,2,non-denominational,104
972,37,girl,2,NA,5,NA,non-denominational,103
973,37,girl,4,5,3,highest,non-denominational,112
974,37,girl,2,2,3,3,non-denominational,112
975,37,boy,2,lowest,3,2,non-denominational,88
976,37,boy,highest,8,5,5,non-denominational,125
977,37,boy,2,3,5,2,non-denominational,104
978,37,boy,highest,NA,NA,5,non-denominational,127
979,37,boy,2,lowest,3,2,non-denominational,102
980,37,boy,2,4,3,2,non-denominational,78
981,37,girl,5,6,5,3,non-denominational,123
982,37,boy,2,lowest,lowest,5,non-denominational,102
983,37,girl,2,3,3,3,non-denominational,79
984,37,boy,2,4,lowest,3,non-denominational,107
985,37,boy,4,lowest,lowest,2,non-denominational,114
986,37,boy,2,7,7,3,non-denominational,112
987,37,girl,4,6,5,3,non-denominational,108
988,37,girl,2,lowest,lowest,4,non-denominational,103
989,37,girl,2,5,7,3,non-denominational,91
990,37,boy,2,NA,lowest,NA,non-denominational,93
991,37,boy,highest,6,4,5,non-denominational,125
992,37,boy,2,4,lowest,3,non-denominational,87
993,37,girl,4,6,5,4,non-denominational,113
994,37,boy,2,lowest,lowest,2,non-denominational,101
